iter	Passed	Remaining
0	208	20647
1	218	10696
2	228	7401
3	240	5763
4	246	4680
5	257	4034
6	266	3545
7	275	3162
8	283	2871
9	291	2622
10	296	2397
11	304	2232
12	309	2069
13	317	1949
14	324	1838
15	332	1746
16	339	1658
17	347	1583
18	354	1511
19	361	1445
20	370	1393
21	377	1337
22	385	1290
23	392	1243
24	402	1208
25	411	1171
26	424	1146
27	438	1127
28	454	1111
29	469	1095
30	475	1058
31	484	1029
32	492	1000
33	501	973
34	510	947
35	517	920
36	525	895
37	534	871
38	541	847
39	550	825
40	559	804
41	568	785
42	578	766
43	586	745
44	596	729
45	604	710
46	611	689
47	618	669
48	626	652
49	633	633
50	642	617
51	650	600
52	658	584
53	666	567
54	674	552
55	684	537
56	693	523
57	700	507
58	710	493
59	718	479
60	730	466
61	738	452
62	749	439
63	757	426
64	766	412
65	774	398
66	784	386
67	794	374
68	801	360
69	810	347
70	817	333
71	825	321
72	832	307
73	840	295
74	847	282
75	854	269
76	862	257
77	868	245
78	877	233
79	884	221
80	895	210
81	902	198
82	910	186
83	917	174
84	925	163
85	931	151
86	939	140
87	946	129
88	954	117
89	961	106
90	967	95
91	976	84
92	982	73
93	992	63
94	999	52
95	1007	41
96	1014	31
97	1023	20
98	1042	10
99	1050	0
